제품명,상품url,가격,할인가격,브랜드,조회수,누적판매,좋아요,이미지url,남성구매비율,여성구매비율,~18세,19세~23세,24세~28세,29세~33세,34세~39세,40세~
F214UDW977 리버서블 숏 다운 BLACK,https://www.musinsa.com/app/goods/2188360,279000,167400,엔에프엘,1000회 이상,,194,//image.msscdn.net/images/goods_img/20211020/2188360/2188360_2_500.jpg?t=20211112114432,,,,,,,,
3M 신슐레이트 M-65 필드 자켓 블랙,https://www.musinsa.com/app/goods/2895531,127900,102900,파르티멘토,4.8천 회 이상,50개 미만,293,//image.msscdn.net/images/goods_img/20221026/2895531/2895531_1_500.jpg?t=20221029164240,55%,45%,5%,29%,40%,14%,10%,2%
나일론 워크 블루종 점퍼 [카키],https://www.musinsa.com/app/goods/2853196,169000,118300,후브스,8.4천 회 이상,50개 미만,644,//image.msscdn.net/images/goods_img/20221012/2853196/2853196_1_500.jpg?t=20221017132239,87%,13%,13%,41%,31%,13%,0%,2%
[구교환 착용] 덕다운 앰펄 후드 롱패딩 _Black,https://www.musinsa.com/app/goods/2841059,249000,169000,라퍼지스토어,4.5천 회 이상,50개 미만,397,//image.msscdn.net/images/goods_img/20221005/2841059/2841059_1_500.jpg?t=20221006183225,66%,34%,9%,3%,28%,38%,6%,16%
그레일 다운 숏패딩 (BLACK),https://www.musinsa.com/app/goods/2139954,279000,167400,디스커버리 익스페디션,3.2천 회 이상,50개 이상,205,//image.msscdn.net/images/goods_img/20210917/2139954/2139954_1_500.jpg?t=20210917132716,36%,64%,4%,13%,16%,10%,11%,46%
디테쳐블 후드 패딩 [글로시 블랙],https://www.musinsa.com/app/goods/2895630,178000,160200,밀로,3천 회 이상,50개 미만,203,//image.msscdn.net/images/goods_img/20221026/2895630/2895630_1_500.jpg?t=20221027112741,80%,20%,4%,44%,44%,0%,4%,4%
하이넥 아웃포켓 구스 다운 [크림],https://www.musinsa.com/app/goods/2266697,239000,159000,더니트컴퍼니,500회 이상,,91,//image.msscdn.net/images/goods_img/20211213/2266697/2266697_1_500.jpg?t=20211213142833,,,,,,,,
올리브 하이넥 다운 여성 숏패딩 (BLACK),https://www.musinsa.com/app/goods/2775078,259000,259000,디스커버리 익스페디션,1.4만 회 이상,100개 이상,"1,242",//image.msscdn.net/images/goods_img/20220906/2775078/2775078_1_500.jpg?t=20220906183623,13%,87%,16%,16%,18%,6%,5%,39%
C REVERSIBLE DUCK DOWN JACKET_BLACK,https://www.musinsa.com/app/goods/2867591,369000,369000,큐리티,800회 이상,,123,//image.msscdn.net/images/goods_img/20221017/2867591/2867591_4_500.jpg?t=20221101130533,,,,,,,,
N194MDW330 타이탄 롱 구스 다운 점퍼 CARBON BLACK,https://www.musinsa.com/app/goods/1740403,459000,209500,내셔널지오그래픽,1.6천 회 이상,50개 미만,244,//image.msscdn.net/images/goods_img/20210108/1740403/1740403_1_500.jpg?t=20220628155935,50%,50%,7%,7%,31%,28%,6%,21%
NO COLLAR WARM UP QUILTING JACKET LIGHT BLUE,https://www.musinsa.com/app/goods/2756286,119000,95200,예일,9.2천 회 이상,50개 이상,717,//image.msscdn.net/images/goods_img/20220830/2756286/2756286_11_500.jpg?t=20221028154259,19%,81%,11%,28%,30%,10%,3%,18%
N224WDW770 여성 카이만 프로 롱기장 구스 다운 점퍼 BEIGE,https://www.musinsa.com/app/goods/2685527,439000,369000,내셔널지오그래픽,2.8천 회 이상,,196,//image.msscdn.net/images/goods_img/20220727/2685527/2685527_6_500.jpg?t=20221026150933,,,,,,,,
FLUFFY DOWN JACKET_BLACK,https://www.musinsa.com/app/goods/2899440,428000,385200,마르디 메크르디,3.1천 회 이상,,239,//image.msscdn.net/images/goods_img/20221027/2899440/2899440_1_500.jpg?t=20221027160355,,,,,,,,
람포지퍼 하이그로시 땡큐 다운 블랙,https://www.musinsa.com/app/goods/2939845,399000,359100,와이씨더블유,900회 이상,,28,//image.msscdn.net/images/goods_img/20221114/2939845/2939845_1_500.jpg?t=20221114104924,,,,,,,,
나일론 메탈 스탠넥 구스 다운 라이트그레이 (UN421CDJN1),https://www.musinsa.com/app/goods/2885379,299000,299000,엄브로,3.7천 회 이상,50개 미만,209,//image.msscdn.net/images/goods_img/20221024/2885379/2885379_1_500.jpg?t=20221024093248,77%,23%,15%,15%,31%,31%,8%,0%
베르크 리버시블 RDS 구스다운 여성 숏패딩 (CREAM),https://www.musinsa.com/app/goods/2823406,379000,379000,디스커버리 익스페디션,1.7천 회 이상,,181,//image.msscdn.net/images/goods_img/20220927/2823406/2823406_4_500.jpg?t=20221110160636,,,,,,,,
엔젤 헤비 웰론 패딩 라이트 그레이,https://www.musinsa.com/app/goods/2128934,139000,97300,와릿이즌,3.4천 회 이상,200개 이상,"1,004",//image.msscdn.net/images/goods_img/20210914/2128934/2128934_2_500.jpg?t=20210923185659,55%,45%,24%,28%,11%,7%,2%,28%
[ONEMILE WEAR] DAILY SHORT PUFFER (PADDING) BLACK,https://www.musinsa.com/app/goods/2853391,169000,135200,예일,1.8만 회 이상,100개 이상,942,//image.msscdn.net/images/goods_img/20221012/2853391/2853391_6_500.jpg?t=20221028162743,43%,57%,21%,26%,24%,6%,5%,18%
우먼스 숏 다운 점퍼 [CREAM],https://www.musinsa.com/app/goods/2829981,159000,129000,골라,1.7천 회 이상,50개 미만,165,//image.msscdn.net/images/goods_img/20220929/2829981/2829981_1_500.jpg?t=20221012192604,18%,82%,21%,43%,7%,4%,4%,21%
Light down Anorak  Black,https://www.musinsa.com/app/goods/1746582,199000,39800,지프,7.2천 회 이상,50개 이상,315,//image.msscdn.net/images/goods_img/20210113/1746582/1746582_2_500.jpg?t=20210115182507,52%,48%,2%,8%,32%,24%,15%,19%
